Symbol,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),Sector (General)
EMQQ,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,Technology
FTSL,High Yield Bonds,Bond,,,Developed Markets,Broad,
PDP,Large Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,
ILF,Latin America Equities,Equity,Large-Cap,Blend,Latin America,Broad,
ITM,National Munis,Bond,,,North America,U.S.,
FBND,Total Bond Market,Bond,,,Developed Markets,Broad,
USRT,Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
ILCG,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
XHB,Building & Construction ,Equity,Mid-Cap,Blend,North America,U.S.,Materials
XME,Materials,Equity,Multi-Cap,Blend,North America,U.S.,Materials
CMF,California Munis,Bond,,,North America,U.S.,
AOR,Diversified Portfolio,Multi-Asset,Multi-Cap,Blend,Developed Markets,Broad,
XLG,Large Cap Growth Equities,Equity,Mega-Cap,Growth,North America,U.S.,
RSX,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Europe,Russia,
SLY,Small Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,
FXD,Consumer Discretionary Equities,Equity,Multi-Cap,Blend,North America,U.S.,Consumer Discretionary
PKW,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
MDYG,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,
IEV,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,Consumer Staples
DXJ,Japan Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,
SPHB,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
RWO,Global Real Estate,Real Estate,Multi-Cap,Blend,Developed Markets,Broad,Real Estate
XMLV,Volatility Hedged Equity,Equity,Small-Cap,Blend,North America,U.S.,
EWL,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,
CWI,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,
